u196,m242,3,881250949
u186,m302,3,891717742
u22,m377,1,878887116
u244,m51,2,880606923
u166,m346,1,886397596
u298,m474,4,884182806
u115,m265,2,881171488
u253,m465,5,891628467
u305,m451,3,886324817
u6,m86,3,883603013
u62,m257,2,879372434
u286,m1014,5,879781125
u200,m222,5,876042340
u210,m40,3,891035994
u224,m29,3,888104457
u303,m785,3,879485318
u122,m387,5,879270459
u194,m274,2,879539794
u291,m1042,4,874834944
u234,m1184,2,892079237
u119,m392,4,886176814
u167,m486,4,892738452
u299,m144,4,877881320
u291,m118,2,874833878
u308,m1,4,887736532
u95,m546,2,879196566
u38,m95,5,892430094
u102,m768,2,883748450
u63,m277,4,875747401
u160,m234,5,876861185
u50,m246,3,877052329
u301,m98,4,882075827
u225,m193,4,879539727
u290,m88,4,880731963
u97,m194,3,884238860
u157,m274,4,886890835
u181,m1081,1,878962623
u278,m603,5,891295330
u276,m796,1,874791932
u7,m32,4,891350932
u10,m16,4,877888877
u284,m304,4,885329322
u201,m979,2,884114233
u276,m564,3,874791805
u287,m327,5,875333916
u246,m201,5,884921594
u242,m1137,5,879741196
u249,m241,5,879641194
u99,m4,5,886519097
u178,m332,3,882823437
u251,m100,4,886271884
u81,m432,2,876535131
u260,m322,4,890618898
u25,m181,5,885853415
u59,m196,5,888205088
u72,m679,2,880037164
u87,m384,4,879877127
u290,m143,5,880474293
u42,m423,5,881107687
u292,m515,4,881103977
u115,m20,3,881171009
u20,m288,1,879667584
u201,m219,4,884112673
u13,m526,3,882141053
u246,m919,4,884920949
u138,m26,5,879024232
u167,m232,1,892738341
u60,m427,5,883326620
u57,m304,5,883698581
u223,m274,4,891550094
u189,m512,4,893277702
u243,m15,3,879987440
u92,m1049,1,890251826
u246,m416,3,884923047
u194,m165,4,879546723
u241,m690,2,887249482
u178,m248,4,882823954
u254,m1444,3,886475558
u293,m5,3,888906576
u127,m229,5,884364867
u225,m237,5,879539643
u299,m229,3,878192429
u225,m480,5,879540748
u276,m54,3,874791025
u291,m144,5,874835091
u222,m366,4,878183381
u267,m518,5,878971773
u42,m403,3,881108684
u11,m111,4,891903862
u95,m625,4,888954412
u8,m338,4,879361873
u162,m25,4,877635573
u87,m1016,4,879876194
u279,m154,5,875296291
u145,m275,2,885557505
u119,m1153,5,874781198
u62,m498,4,879373848
u62,m382,3,879375537
u28,m209,4,881961214
u135,m23,4,879857765
u32,m294,3,883709863
u90,m382,5,891383835
u286,m208,4,877531942
u293,m685,3,888905170
u216,m144,4,880234639
u166,m328,5,886397722
u250,m496,4,878090499
u271,m132,5,885848672
u160,m174,5,876860807
u265,m118,4,875320714
u198,m498,3,884207492
u42,m96,5,881107178
u168,m151,5,884288058
u110,m307,4,886987260
u58,m144,4,884304936
u90,m648,4,891384754
u271,m346,4,885844430
u62,m21,3,879373460
u279,m832,3,881375854
u237,m514,4,879376641
u94,m789,4,891720887
u128,m485,3,879966895
u298,m317,4,884182806
u44,m195,5,878347874
u264,m200,5,886122352
u194,m385,2,879524643
u72,m195,5,880037702
u222,m750,5,883815120
u250,m264,3,878089182
u41,m265,3,890687042
u224,m245,3,888082216
u82,m135,3,878769629
u262,m1147,4,879791710
u293,m471,3,888904884
u216,m658,3,880245029
u250,m140,3,878092059
u59,m23,5,888205300
u286,m379,5,877533771
u244,m815,4,880605185
u7,m479,4,891352010
u174,m368,1,886434402
u87,m274,4,879876734
u194,m1211,2,879551380
u82,m1134,2,884714402
u13,m836,2,882139746
u13,m272,4,884538403
u244,m756,2,880605157
u305,m427,5,886323090
u95,m787,2,888954930
u43,m14,2,883955745
u299,m955,4,889502823
u57,m419,3,883698454
u84,m405,3,883452363
u269,m504,4,891449922
u299,m111,3,877878184
u194,m466,4,879525876
u160,m135,4,876860807
u99,m268,3,885678247
u10,m486,4,877886846
u259,m117,4,874724988
u85,m427,3,879456350
u303,m919,4,879467295
u213,m273,5,878870987
u121,m514,3,891387947
u90,m98,5,891383204
u49,m559,2,888067405
u42,m794,3,881108425
u155,m323,2,879371261
u68,m117,4,876973939
u172,m177,4,875537965
u19,m4,4,885412840
u268,m231,4,875744136
u5,m2,3,875636053
u305,m117,2,886324028
u44,m294,4,883612356
u43,m137,4,875975656
u279,m1336,1,875298353
u80,m466,5,887401701
u254,m164,4,886472768
u298,m281,3,884183336
u279,m1240,1,892174404
u66,m298,4,883601324
u18,m443,3,880130193
u268,m1035,2,875542174
u99,m79,4,885680138
u13,m98,4,881515011
u26,m258,3,891347949
u7,m455,4,891353086
u222,m755,4,878183481
u200,m673,5,884128554
u119,m328,4,876923913
u213,m172,5,878955442
u276,m322,3,874786392
u94,m1217,3,891723086
u130,m379,4,875801662
u38,m328,4,892428688
u160,m719,3,876857977
u293,m1267,3,888906966
u26,m930,2,891385985
u130,m216,4,875216545
u92,m1079,3,886443455
u256,m452,4,882164999
u1,m61,4,878542420
u72,m48,4,880036718
u56,m755,3,892910207
u13,m360,4,882140926
u15,m405,2,879455957
u92,m77,3,875654637
u207,m476,2,884386343
u292,m174,5,881105481
u232,m483,5,888549622
u251,m748,2,886272175
u224,m26,3,888104153
u181,m220,4,878962392
u259,m255,4,874724710
u305,m471,4,886323648
u52,m280,3,882922806
u161,m202,5,891170769
u148,m408,5,877399018
u125,m235,2,892838559
u97,m228,5,884238860
u58,m1098,4,884304936
u83,m234,4,887665548
u90,m347,4,891383319
u272,m178,5,879455113
u194,m181,3,879521396
u125,m478,4,879454628
u110,m688,1,886987605
u299,m14,4,877877775
u151,m10,5,879524921
u269,m127,4,891446165
u6,m14,5,883599249
u54,m106,3,880937882
u303,m69,5,879467542
u16,m944,1,877727122
u301,m790,4,882078621
u276,m1091,3,874793035
u305,m214,2,886323068
u194,m1028,2,879541148
u91,m323,2,891438397
u87,m554,4,879875940
u294,m109,4,877819599
u286,m171,4,877531791
u200,m318,5,884128458
u229,m328,1,891632142
u178,m568,4,882826555
u303,m842,2,879484804
u62,m65,4,879374686
u207,m591,3,876018608
u92,m172,4,875653271
u301,m401,4,882078040
u36,m339,5,882157581
u70,m746,3,884150257
u63,m242,3,875747190
u28,m201,3,881961671
u279,m68,4,875307407
u250,m7,4,878089716
u14,m98,3,890881335
u299,m1018,3,889502324
u194,m54,3,879525876
u303,m815,3,879485532
u119,m237,5,874775038
u295,m218,5,879966498
u268,m930,2,875742942
u268,m2,2,875744173
u66,m258,4,883601089
u233,m202,5,879394264
u83,m623,4,880308578
u214,m334,3,891542540
u192,m476,2,881368243
u100,m344,4,891374868
u268,m145,1,875744501
u301,m56,4,882076587
u307,m89,5,879283786
u234,m141,3,892334609
u83,m576,4,880308755
u181,m264,2,878961624
u297,m133,4,875240090
u38,m153,5,892430369
u7,m382,4,891352093
u264,m813,4,886122952
u181,m872,1,878961814
u201,m146,1,884140579
u85,m507,4,879456199
u269,m367,3,891450023
u59,m468,3,888205855
u286,m143,4,889651549
u193,m96,1,889124507
u113,m595,5,875936424
u292,m11,5,881104093
u130,m1014,3,876250718
u275,m98,4,875155140
u189,m520,5,893265380
u219,m82,1,889452455
u218,m209,5,877488546
u123,m427,3,879873020
u119,m222,5,874775311
u158,m177,4,880134407
u222,m118,4,877563802
u302,m322,2,879436875
u279,m501,3,875308843
u301,m79,5,882076403
u181,m3,2,878963441
u201,m695,1,884140115
u13,m198,3,881515193
u1,m189,3,888732928
u145,m237,5,875270570
u23,m385,4,874786462
u201,m767,4,884114505
u296,m705,5,884197193
u42,m546,3,881105817
u33,m872,3,891964230
u301,m554,3,882078830
u16,m64,5,877720297
u95,m135,3,879197562
u154,m357,4,879138713
u77,m484,5,884733766
u296,m508,5,884196584
u302,m303,2,879436785
u244,m673,3,880606667
u222,m77,4,878183616
u13,m215,5,882140588
u16,m705,5,877722736
u270,m452,4,876956264
u145,m15,2,875270655
u187,m64,5,879465631
u200,m304,5,876041644
u170,m749,5,887646170
u101,m829,3,877136138
u184,m218,3,889909840
u128,m204,4,879967478
u181,m1295,1,878961781
u184,m153,3,889911285
u1,m33,4,878542699
u1,m160,4,875072547
u184,m321,5,889906967
u54,m595,3,880937813
u94,m343,4,891725009
u128,m508,4,879967767
u23,m323,2,874784266
u301,m227,3,882077222
u301,m191,3,882075672
u112,m903,1,892440172
u82,m183,3,878769848
u222,m724,3,878181976
u218,m430,3,877488316
u308,m1197,4,887739521
u303,m134,5,879467959
u133,m751,3,890588547
u215,m212,2,891435680
u69,m256,5,882126156
u254,m662,4,887347350
u276,m2,4,874792436
u104,m984,1,888442575
u63,m1067,3,875747514
u267,m410,4,878970785
u13,m56,5,881515011
u240,m879,3,885775745
u286,m237,2,875806800
u294,m271,5,889241426
u90,m1086,4,891384424
u18,m26,4,880129731
u92,m229,3,875656201
u308,m649,4,887739292
u144,m89,3,888105691
u191,m302,4,891560253
u59,m951,3,888206409
u200,m96,5,884129409
u16,m197,5,877726146
u61,m678,3,892302309
u271,m199,4,885848448
u271,m709,3,885849325
u142,m169,5,888640356
u275,m597,3,876197678
u222,m151,3,878182109
u87,m40,3,879876917
u207,m258,4,877879172
u272,m1393,2,879454663
u177,m333,4,880130397
u207,m1115,2,879664906
u299,m577,3,889503806
u271,m378,4,885849447
u305,m425,4,886324486
u49,m959,2,888068912
u94,m1224,3,891722802
u130,m1017,3,874953895
u10,m175,3,877888677
u203,m321,3,880433418
u191,m286,4,891560842
u43,m323,3,875975110
u21,m558,5,874951695
u197,m96,5,891409839
u13,m344,2,888073635
u194,m66,3,879527264
u234,m206,4,892334543
u308,m402,4,887740700
u308,m640,4,887737036
u269,m522,5,891447773
u94,m265,4,891721889
u268,m62,3,875310824
u272,m12,5,879455254
u121,m291,3,891390477
